,Closing Price (Yen),discount_rate
669,179.41,5.84
670,181.50999999999996,5.84
671,183.01,5.84
672,182.27999999999997,5.84
673,182.8,5.84
674,184.58999999999997,5.84
675,184.81,5.84
676,185.12,5.84
677,186.09,5.84
678,185.94,5.84
679,188.5,5.84
680,192.91,5.84
681,195.05,5.84
682,197.88,5.84
683,200.6,5.84
684,199.66,5.84
685,200.26,5.84
686,201.08999999999997,5.84
687,203.05,5.84
688,206.2,5.84
689,204.5,5.84
690,202.54000000000002,5.84
691,202.71999999999997,5.84
692,204.41,5.84
693,207.86,5.84
694,207.97999999999996,5.84
695,209.10999999999999,5.84
696,207.74,5.84
697,208.53,5.84
698,209.85,5.84
699,208.13,5.84
700,206.72,5.84
701,207.56,5.84
702,207.29,5.84
703,206.56,5.84
704,206.06,5.84
705,204.85000000000002,5.84
706,205.99,5.84
707,209.3,5.84
708,210.6,5.84
709,213.11,5.84
710,214.3,5.84
711,214.96,5.84
712,216.58,5.84
713,220.77,5.84
714,222.75,5.84
715,222.54,5.84
716,225.38,5.84
717,228.41,5.84
718,225.98,5.84
719,224.0,5.84
720,227.01,5.84
721,225.1,5.84
722,226.16,5.84
723,228.73,5.84
724,232.88,5.84
725,232.99999999999997,5.84
726,239.08,5.84
727,238.2,5.84
728,237.47,5.84
729,240.96,5.84
730,238.92,5.84
731,234.57,5.84
732,239.07000000000002,5.84
733,240.22,5.84
734,239.88,5.84
735,234.33,5.84
736,237.12000000000003,5.84
737,238.37,5.84
738,241.1,5.84
739,242.58,5.84
740,244.2,5.84
741,246.15,5.84
742,249.86,5.84
743,251.3,5.84
744,254.7,5.84
745,255.17,5.84
746,255.74,5.84
747,259.59,5.84
748,259.45,5.84
749,262.56,5.84
750,262.71,5.84
751,263.04,5.84
752,257.85,5.84
753,256.64,5.84
754,257.57,5.84
755,257.62,5.84
756,248.48,5.84
757,238.8,5.84
758,244.68,5.84
759,247.81,5.84
760,245.61,5.84
761,246.43,5.84
762,245.36999999999998,5.84
763,246.65,5.84
764,248.04,5.84
765,246.92,5.84
766,249.25,5.84
767,250.24,5.84
768,253.21000000000004,5.84
769,253.74,5.84
770,254.73,5.84
771,256.98,5.84
772,255.4,5.84
773,258.37,5.84
774,258.73,5.84
775,261.64,5.84
776,264.71,5.84
777,262.57,5.84
778,262.63,5.84
779,260.89,5.84
780,259.7,5.84
781,259.67,5.84
782,259.9,5.84
783,260.07,5.84
784,258.85,5.84
785,258.31,5.84
786,260.04,5.84
787,258.41,5.84
788,256.98,5.84
789,250.48,5.84
790,251.65,5.84
791,252.92,5.84
792,256.91,5.84
793,254.02,5.84
794,254.72,5.84
795,254.38,5.84
796,255.85,5.84
797,255.99,5.84
798,255.88,5.84
799,257.84,5.84
800,258.33,5.84
801,255.97,5.84
802,256.7,5.84
803,256.46,5.84
804,256.22,5.84
805,258.35,5.84
806,258.17,5.84
807,258.6,5.84
808,259.19,5.84
809,258.74,5.84
810,260.17,5.84
811,260.12,5.84
812,262.17,5.84
813,263.63,5.84
814,260.96,5.84
815,260.03,5.84
816,264.47,5.84
817,267.08,5.84
818,265.97,5.84
819,268.9,5.84
820,271.49,5.84
821,271.91,5.84
822,270.33,5.84
823,272.45,5.84
824,275.7,5.84
825,280.33,5.84
826,283.29,5.84
827,287.58,5.84
828,287.66,5.84
829,290.83,5.84
830,289.99,5.84
831,288.41,5.84
832,294.29,5.84
833,297.54,5.84
834,302.73,5.84
835,303.67,5.84
836,305.73,5.84
837,301.76,5.84
838,307.44999999999993,5.84
839,311.14,5.84
840,313.21,5.84
841,316.36,5.84
842,321.39,5.84
843,318.11,5.84
844,320.2,5.84
845,317.61,5.84
846,313.23,5.84
847,318.29,5.84
848,321.23,5.84
849,323.21,5.84
850,321.6,5.84
